index,bitstring,probability
712,010101110010110001,0.0009765625
713,110101100100101001,0.0009765625
714,110111100010101001,0.0009765625
715,010101110011101001,0.0009765625
716,101010110110100101,0.0009765625
717,110001010000110011,0.0009765625
718,011011110000110011,0.0009765625
719,110011100111110011,0.0009765625
720,000111100100101011,0.0009765625
721,101101110010101011,0.0009765625
722,001101100110101011,0.0009765625
723,000101000000100111,0.0009765625
724,110011101000100111,0.0009765625
725,100111010110100111,0.0009765625
726,011001100111100111,0.0009765625
727,000101100010111111,0.0009765625
728,011111001010010100,0.0009765625
729,001101010101000010,0.0009765625
730,011110011010010010,0.0009765625
731,101001101100000110,0.0009765625
732,101011110010000110,0.0009765625
733,001001101001000110,0.0009765625
734,101001101000011110,0.0009765625
735,111110100000000001,0.0009765625
736,100011001010000001,0.0009765625
737,100001011101000001,0.0009765625
738,101001010111000001,0.0009765625
739,010011100100010001,0.0009765625
740,100110110011010001,0.0009765625
741,011010001111010001,0.0009765625
742,010100111001010101,0.0009765625
743,100110110000000011,0.0009765625
744,101010000011000111,0.0009765625
745,100110000001001111,0.0009765625
746,001000001000100000,0.0009765625
747,100110001110101000,0.0009765625
748,110010110111111010,0.0009765625
749,010101011010111001,0.0009765625
750,111010111101100101,0.0009765625
751,010101110000110101,0.0009765625
752,101111011001100011,0.0009765625
753,110001010101100011,0.0009765625
754,000101100111100011,0.0009765625
755,011001001000111011,0.0009765625
756,100111100001111011,0.0009765625
757,101110111011000000,0.0009765625
758,110101110011000100,0.0009765625
759,101101000101001100,0.0009765625
760,111101001100011100,0.0009765625
761,001011101010000010,0.0019531250000000004
762,011011101000010010,0.0009765625
763,011001001101010010,0.0009765625
764,101101111000001010,0.0009765625
765,111100111101010110,0.0009765625
766,011110010000010001,0.0009765625
767,101000101110001001,0.0009765625
768,001011000001000101,0.0019531250000000004
769,000011110101000101,0.0009765625
770,111100110001011101,0.0009765625
771,110010010000010011,0.0009765625
772,111000101000001011,0.0009765625
773,100100000101001011,0.0009765625
774,100110011101000111,0.0009765625
775,111100111111101000,0.0009765625
776,111111101010101110,0.0009765625
777,010101000011111101,0.0009765625
778,101001101110100011,0.0009765625
779,000101011101110011,0.0009765625
780,100110110110101011,0.0009765625
781,101101100010100111,0.0009765625
782,111010101110100111,0.0009765625
783,111001111000000010,0.0009765625
784,010001011111000010,0.0009765625
785,010111011000000110,0.0009765625
786,010110010110011110,0.0009765625
787,011010101010001001,0.0009765625
788,100101011010000101,0.0009765625
789,001110011110000011,0.0009765625
790,101100111001011011,0.0009765625
791,101100000101001111,0.0009765625
792,111010101111110001,0.0009765625
793,010101010000111001,0.0009765625
794,111001101000111011,0.0009765625
795,100110101110111011,0.0009765625
796,110101010010100111,0.0009765625
797,100111100101001100,0.0009765625
798,011101100101011100,0.0009765625
799,110101000001000010,0.0009765625
800,110111011001000010,0.0009765625
801,111110001110011010,0.0009765625
802,101110101011000110,0.0009765625
803,110101000010010110,0.0009765625
804,111101000110010110,0.0009765625
805,110001010000000001,0.0009765625
806,000101010000000001,0.0009765625
807,010011000010000001,0.0009765625
808,000111001101000001,0.0009765625
809,111110010000010001,0.0009765625
810,010100101110001001,0.0009765625
811,101011001100011101,0.0009765625
812,000001010100000011,0.0009765625
813,010010110010010011,0.0009765625
814,010110101001011011,0.0009765625
815,001010101100101000,0.0009765625
816,100011111111100100,0.0009765625
817,010101010111111100,0.0009765625
818,101110111011101010,0.0009765625
819,111110111010110001,0.0009765625
820,101111101000110011,0.0009765625
821,100101100110101011,0.0009765625
822,100110111110101011,0.0009765625
823,000101101101101011,0.0009765625
824,101111011001100111,0.0009765625
825,100101100001111111,0.0009765625
826,011101010100011000,0.0009765625
827,011011011111000100,0.0009765625
828,110101110011010100,0.0009765625
829,011001010101011100,0.0009765625
830,011101110010010010,0.0009765625
831,111110101010010010,0.0009765625
832,010111000001010010,0.0009765625
833,010101000011001010,0.0009765625
834,000101000100010001,0.0009765625
835,000111101101010001,0.0009765625
836,110011101000001001,0.0009765625
837,001101100010001001,0.0009765625
838,010001100111001001,0.0009765625
839,011001110110000101,0.0009765625
840,110001000000011101,0.0009765625
841,100001000000010011,0.0009765625
842,001011110000010011,0.0009765625
843,010110101000010011,0.0009765625
844,010110001100010011,0.0009765625
845,011100100010010011,0.0009765625
846,011100110011001011,0.0009765625
847,110110000000000111,0.0009765625
848,000001000010000111,0.0009765625
849,011110110001000111,0.0009765625
850,101110101100010111,0.0009765625
851,100010110110100000,0.0009765625
852,100010110011100000,0.0009765625
853,100110100110101000,0.0019531250000000004
854,010111111101111110,0.0009765625
855,011111010100111001,0.0009765625
856,100111110101100011,0.0009765625
857,010111000011101011,0.0009765625
858,101011101010000100,0.0009765625
859,101101101100001010,0.0009765625
860,100101100101000110,0.0009765625
861,101111001110011110,0.0009765625
862,101011001010010001,0.0009765625
863,000101000000010101,0.0009765625
864,001011010101011101,0.0009765625
865,010100101111011101,0.0009765625
866,010100101011000011,0.0009765625
867,110100000000011011,0.0009765625
868,000011000011010111,0.0009765625
869,110111111110110001,0.0009765625
